Nx=10 Ny=10  Nz=10 Cluster=0
X Y Z id
1 1 1 773609816
2 1 1 773609816
3 1 1 773609816
4 1 1 773609816
5 1 1 773609816
6 1 1 773609816
7 1 1 773609816
8 1 1 773609816
1 2 1 773609816
2 2 1 773609816
3 2 1 773609816
4 2 1 773609816
5 2 1 773609816
6 2 1 773609816
7 2 1 773609816
8 2 1 773609816
1 3 1 773609816
2 3 1 773609816
3 3 1 773609816
4 3 1 773609816
5 3 1 773609816
6 3 1 773609816
7 3 1 773609816
8 3 1 773609816
1 4 1 773609816
2 4 1 773609816
3 4 1 773609816
4 4 1 773609816
5 4 1 773609816
6 4 1 773609816
7 4 1 773609816
8 4 1 773609816
1 5 1 773609816
2 5 1 773609816
3 5 1 773609816
4 5 1 773609816
5 5 1 773609816
6 5 1 773609816
7 5 1 773609816
8 5 1 773609816
1 6 1 773609816
2 6 1 773609816
3 6 1 773609816
4 6 1 773609816
5 6 1 773609816
6 6 1 773609816
7 6 1 773609816
8 6 1 773609816
1 7 1 773609816
2 7 1 773609816
3 7 1 773609816
4 7 1 773609816
5 7 1 773609816
6 7 1 773609816
7 7 1 773609816
8 7 1 773609816
1 8 1 773609816
2 8 1 773609816
3 8 1 773609816
4 8 1 773609816
5 8 1 773609816
6 8 1 773609816
7 8 1 773609816
8 8 1 773609816
1 1 2 773609816
2 1 2 773609816
3 1 2 773609816
4 1 2 773609816
5 1 2 773609816
6 1 2 773609816
7 1 2 773609816
8 1 2 773609816
1 2 2 773609816
2 2 2 773609816
3 2 2 773609816
4 2 2 773609816
5 2 2 773609816
6 2 2 773609816
7 2 2 773609816
8 2 2 773609816
1 3 2 773609816
2 3 2 773609816
3 3 2 773609816
4 3 2 773609816
5 3 2 773609816
6 3 2 773609816
7 3 2 773609816
8 3 2 773609816
1 4 2 773609816
2 4 2 773609816
3 4 2 773609816
4 4 2 773609816
5 4 2 773609816
6 4 2 773609816
7 4 2 773609816
8 4 2 773609816
1 5 2 773609816
2 5 2 773609816
3 5 2 773609816
4 5 2 773609816
5 5 2 773609816
6 5 2 773609816
7 5 2 773609816
